20240228153414, 88:9C:AD:77:7D:0D, SIT-POLY, 45
20240228153414, 88:9C:AD:77:CA:2D, SIT-POLY, 37
20240228153414, 88:9C:AD:77:05:AD, SIT-POLY, 32
20240228153414, 88:9C:AD:E1:20:2D, SIT-POLY, 29
20240228160035, 88:9C:AD:72:B7:8D, SIT-POLY, 84
20240228160035, 88:9C:AD:E1:1D:4D, SIT-POLY, 65
20240228160035, 88:9C:AD:E0:30:2D, SIT-POLY, 60
20240228160035, 88:9C:AD:70:53:6D, SIT-POLY, 55
20240228160035, 88:9C:AD:E0:88:CD, SIT-POLY, 54
20240228160035, 88:9C:AD:E1:5E:4D, SIT-POLY, 50
20240228160035, 88:9C:AD:71:51:8D, SIT-POLY, 50
20240228160035, 88:9C:AD:E1:20:2D, SIT-POLY, 37
20240228160035, 88:9C:AD:6F:C4:ED, SIT-POLY, 34
20240228160035, 88:9C:AD:77:CA:2D, SIT-POLY, 34
20240228160035, 88:9C:AD:77:05:AD, SIT-POLY, 34
20240228160245, 88:9C:AD:72:B7:8D, SIT-POLY, 84
20240228160245, 88:9C:AD:71:51:8D, SIT-POLY, 75
20240228160245, 88:9C:AD:6F:C4:ED, SIT-POLY, 74
20240228160245, 88:9C:AD:E1:5E:4D, SIT-POLY, 70
20240228160245, 88:9C:AD:E1:1D:4D, SIT-POLY, 65
20240228160245, 88:9C:AD:71:16:4D, SIT-POLY, 64
20240228160245, 88:9C:AD:E0:30:2D, SIT-POLY, 60
20240228160245, 88:9C:AD:70:53:6D, SIT-POLY, 55
20240228160245, 88:9C:AD:E0:88:CD, SIT-POLY, 54
20240228160245, 88:9C:AD:70:34:CD, SIT-POLY, 54
20240228160245, 88:9C:AD:E1:20:2D, SIT-POLY, 37
20240228160245, 88:9C:AD:77:05:AD, SIT-POLY, 32
20240228160245, 88:9C:AD:77:CA:2D, SIT-POLY, 30
